Индекс ВМО,Наименование станции,Широта,Долгота,Высота метеопл.,Начало наблюдений,Примечание
24959.0,Якутск,62.0,129.66666666666666,98.0,1936.0,Перенос: 01.11.1964г. на 700-800м к СЗ
24966.0,Усть-Мая,60.35,134.45,171.0,1936.0,15.09.1943г. перенос в с. Чаран (бывшее с. Петропавловское)
24967.0,Тегюлтя,60.46666666666667,130.0,173.0,1961.0,
24982.0,Уега,60.71666666666667,142.78333333333333,396.0,1961.0,
25034.0,Бухта Амбарчик,69.61666666666666,162.3,24.0,1933.0,
25042.0,Им. В.С.Сидорова (Айон),69.93333333333334,167.98333333333332,13.0,1942.0,
25062.0,Мыс Биллингса,69.88333333333334,175.76666666666668,2.0,1935.0,
25138.0,Островное,68.11666666666666,164.16666666666666,98.0,1933.0,
25173.0,Мыс Шмидта,68.9,-178.36666666666667,2.0,1932.0,Перенос в 1953 г. на 7км к В. Законсервирована с 01.09.2013г.
25206.0,Среднеколымск,67.45,153.71666666666667,20.0,1887.0,
25248.0,Илирней,67.25,167.96666666666667,352.0,1944.0,"С 07.10.2015г. наблюдения прекращены, нет штата."
25282.0,Мыс Ванкарем,67.83333333333333,-174.16666666666666,3.0,1934.0,
25325.0,Усть-Олой,66.55,159.41666666666666,127.0,1943.0,С 19.08.2013г. временно законсервирована
25356.0,Эньмувеем,66.38333333333334,173.33333333333334,78.0,1946.0,
25372.0,"Амгуэма,87км",67.01666666666667,-177.06666666666666,139.0,1951.0,Законсервирована с 01.09.1995 г.
25378.0,Эгвекинот,66.35,-178.88333333333333,18.0,1950.0,Перенос 19.12.1957г. на 9км к С
25399.0,Уэлен,66.16666666666667,-168.16666666666666,5.0,1918.0,
25400.0,Зырянка,65.73333333333333,150.9,41.0,1935.0,12.08.1937г. перенос на 16.6км к Ю в п.Зырянка
25428.0,Омолон,65.23333333333333,160.53333333333333,260.0,1944.0,Перенос 25.12.1953г. на 1км к Ю
25503.0,Коркодон,64.75,153.96666666666667,97.0,1935.0,Перенос 02.09.1940г. на 7км вверх по течению р.Колымы к устью р.Коркодон
25538.0,Верхне-Пенжино,64.21666666666667,164.23333333333332,324.0,1944.0,
25551.0,Марково,64.68333333333334,170.41666666666666,25.0,1894.0,"Перенос в 1940г. на 25км к В, в 10.1942г. обратно в Марково"
25563.0,Анадырь,64.78333333333333,177.56666666666666,64.0,1889.0,Переносы: в 1913г. на 5км к ЮЗ (из п.Комбинат в п.Анадырь) и 1.12.1935г. обратно
25594.0,Бухта Провидения,64.38333333333334,-172.76666666666668,25.0,1934.0,"В 1938г. перенос в р-н аэропорта (на другой берег реки), в 1940г. в с.Урелики, в 2001г. в аэропорт Провидения. С 01.09.2013г. законсервирована"
25621.0,Кедон,64.0,158.91666666666666,682.0,1945.0,Законсервирована с 01.08.2003г.
25656.0,Березово,63.45,172.7,200.0,1944.0,Законсервирована с 03.05.1995г.
25677.0,Беринговская,63.016666666666666,179.28333333333333,3.0,1944.0,С 1996г. по 2006г. наблюдения не проводились. С 01.09.2013г. законсервирована
25703.0,Сеймчан,62.916666666666664,152.41666666666666,206.0,1933.0,"Перенос в 12.1941г. на 1.5км к С, в 1998г. на 1.8км к С"
25705.0,Среднекан,62.45,152.31666666666666,264.0,1933.0,"Переносы: 22.10.1934г. на 1.7км к ЮЗ, 25.10.1936г. обратно, но на 500м к ЮЮЗ"
25744.0,Каменское,62.483333333333334,166.21666666666667,35.0,1949.0,"Перенос 13.07.1964г. на 7км к СВ (коорд. 62°26′ -166°05′), в 11.2002г. на 7км к ЮЗ"
25767.0,Хатырка,62.05,175.2,11.0,1954.0,Законсервирована с 01.09.2013г.
25777.0,Бухта Гавриила,62.416666666666664,179.13333333333333,4.0,1935.0,Законсервирована с 01.09.1995г.
25912.0,Ола,59.56666666666667,151.28333333333333,4.0,1914.0,
25913.0,Магадан (Нагаево),59.55,150.78333333333333,115.0,1930.0,Перенос 17.02.1937г. на 1.7км к ЮВ
25916.0,"Алевина, мыс",58.833333333333336,151.35,64.0,1962.0,
25922.0,Шелихова,60.71666666666667,155.88333333333333,34.0,1960.0,
25927.0,Брохово,59.65,154.26666666666668,7.0,1933.0,
25932.0,Тайгонос,60.68333333333333,160.4,45.0,1949.0,Законсервирована с 15.07.2013г.
25954.0,Корф,60.35,166.0,2.0,1929.0,Закрыта 08.10.2011г.
25956.0,Апука,60.43333333333333,169.66666666666666,3.0,1932.0,
26063.0,Санкт-Петербург,59.96666666666667,30.3,3.0,1743.0,Перенос в 07.1933г. на 5км к ССЗ
26069.0,Белогорка,59.35,30.133333333333333,88.0,1926.0,
26094.0,Тихвин,59.65,33.55,61.0,1938.0,"Переносы: в 12.1946г. на 3.5км к СЗ, в 10.1955г. на 2.5км к ВЮВ"
26157.0,Гдов,58.733333333333334,27.833333333333332,39.0,1916.0,"Переносы: в 12.1944г. на 5км к С, в 11.1947г. обратно, в 07.1954г. на 3.3км к СВ"
26258.0,Псков,57.81666666666667,28.333333333333332,43.0,1874.0,"Переносы: в 03.1910г. на 1км к СЗ, в 09.1934г. на 1км к С, в 08.1944г. на 2.8км к ССЗ, в 06.1957г. на 3.7км к ЮЮЗ"
26275.0,Старая Русса,58.016666666666666,31.316666666666666,24.0,1901.0,
26298.0,Бологое,57.9,34.05,186.0,1928.0,Переносы: 27.10.1930г. на 1км к СЗ; 08.06.1957г. на 1км к С
26359.0,Пушкинские Горы,57.016666666666666,28.9,108.0,1931.0,
26477.0,Великие Луки,56.35,30.616666666666667,104.0,1880.0,"Переносы: в 12.1933г. на 10км к ССВ, с 02.1946г. в д. Зимари в 5км к ССВ от г. Великие Луки, в 09.1946г. на 2км к ЮЮЗ"
26479.0,Торопец,56.483333333333334,31.633333333333333,187.0,1923.0,
26499.0,Старица,56.5,34.93333333333333,184.0,1892.0,Переносы: в 1941г. на 1км к ССВ; 17.07.1987г. на 1.5км к ЗСЗ
26614.0,Советск,55.083333333333336,21.933333333333334,37.0,1881.0,
26701.0,Балтийск,54.65,19.883333333333333,4.0,1948.0,
26702.0,Калининград,54.7,20.616666666666667,20.0,1848.0,
26706.0,Железнодорожный,54.36666666666667,21.3,49.0,1950.0,
26781.0,Смоленск,54.75,32.06666666666667,236.0,1887.0,Перенос в 1936г. на 2км на территорию аэропорта
26898.0,Брянск,53.25,34.31666666666667,214.0,1928.0,"1928-1935гг. – данные ст.Брянск, ж.д. (коорд.53°13′-34 о26’); 1935-1945гг. – данные ст. Брянск,АМСГ (коорд.53°18′-34 о18’); перенос 26.06.1946г. на 6,5км к СЗ (коорд.53°20′-34 о14’); с 1966г.-1987г. данные ст. Брянск, агро и с 1988г. ст.Брянск (коорд.53°15′-34 о19’)"
26976.0,Красная Гора,53.016666666666666,31.6,147.0,1934.0,
26997.0,Трубчевск,52.583333333333336,33.766666666666666,177.0,1930.0,Перенос в 1983г. на 7км к ССЗ
27008.0,Бабаево,59.4,35.93333333333333,136.0,1926.0,Перенос в 1933г. на 3.5км к СЗ
27037.0,Вологда,59.31666666666667,39.93333333333333,125.0,1844.0,Переносы: 15.09.1959г. на 2км к Ю и 02.08.1982г. на 1км к ССЗ
27051.0,Тотьма,59.88333333333333,42.75,134.0,1883.0,Перенос в 05.1939г. на 1км к С
27066.0,Никольск,59.53333333333333,45.46666666666667,142.0,1904.0,Перенос 29.09.1966г. на 1.5км к С
27083.0,Опарино,59.85,48.28333333333333,179.0,1931.0,
27164.0,Кологрив,58.81666666666667,44.31666666666667,150.0,1897.0,Перенос в 1963г. на 4км к СВ
27208.0,Максатиха,57.8,35.9,140.0,1926.0,"Переносы: 03.11.1942г. на 1.5км к В, 29.07.1988г. на 1.5км к З"
27225.0,Рыбинск,58.1,38.68333333333333,104.0,1949.0,
27277.0,Ветлуга,57.85,45.766666666666666,133.0,1924.0,Перенос: 28.02.1934г. на 1.6км к ЮЗ
27296.0,Кумены,58.1,49.916666666666664,175.0,1927.0,
27333.0,Кострома,57.733333333333334,40.78333333333333,125.0,1842.0,Перенос 1.09.1992г. на 10км к ЗЮЗ в д.Коряково
27385.0,Яранск,57.36666666666667,47.916666666666664,103.0,1923.0,
27425.0,Переславль-Залесский,56.71666666666667,38.833333333333336,174.0,1921.0,"Переносы: 10.10.1938г. на 1км к ЮЮВ, в 1953г. на 1км к ЮЮВ"
27459.0,Нижний Новгород,56.266666666666666,44.0,161.0,1835.0,"Переносы в 05.1922г. на 2-3км к ЮВ, в 07.1932г. на 7км к ЮЮЗ"
27485.0,Йошкар-Ола,56.63333333333333,47.766666666666666,116.0,1926.0,"Переносы: 20.09.1931г. на 1км к ЮЮВ, 25.08.1939г. на 4км к З, в 1986г. на 1км к З, в 2010г. на 9.5км к ЮЗ"
27509.0,Можайск,55.516666666666666,36.0,184.0,1932.0,Перенос 31.01.1942г. на 2км к СЗ
27595.0,Казань,55.733333333333334,49.2,116.0,1812.0,"До 11.1925г. Казань (Университет), координаты - 55°47′ - 49°08′. С 11.1925г. Казань (опорная)"
27612.0,"Москва, ВДНХ",55.833333333333336,37.61666666666667,147.0,1948.0,
27625.0,Коломна,55.13333333333333,38.733333333333334,112.0,1913.0,"Переносы: в 1930г. на 2км к СЗ, в 12.1955г. на 5км к СЗ"
27648.0,Елатьма,54.96666666666667,41.75,132.0,1885.0,
27665.0,Лукоянов,5.033333333333333,44.5,217.0,1886.0,
27675.0,Порецкое,55.18333333333333,46.333333333333336,136.0,1891.0,
27707.0,Сухиничи,54.083333333333336,35.35,237.0,1926.0,Перенос 02.02.1960г. на 1.5км к ВЮВ
